method,m_hashes,b_bands,r_rows,recall_at_k,ndcg_at_k,candidate_ratio,query_time,N,dim
LSH,128,4,32,0.23600000000000002,0.37956949712193244,0.01932809871003926,0.00012545335339382292,17830,200
LSH,128,8,16,0.8320000000000001,0.8847350697089388,0.3871082445316882,0.002518355860374868,17830,200
LSH,128,16,8,1.0,1.0,0.9866842400448681,0.005802840006072074,17830,200
LSH,128,32,4,1.0,1.0,0.9999988782950083,0.00855197995668277,17830,200
