title,decade
200 Cigarettes,1990s
29th Street (film),1990s
2by4,1990s
3 Ninjas (film),1990s
3 Ninjas Kick Back,1990s
3 Ninjas Knuckle Up,1990s
3 Ninjas: High Noon at Mega Mountain,1990s
54 (film),1990s
8 Heads in a Duffel Bag,1990s
8 Seconds,1990s
8mm (film),1990s
A Better Place,1990s
A Boy Called Hate,1990s
A Bronx Tale,1990s
A Bucket of Blood (1995 film),1990s
A Captive in the Land,1990s
A Chance of Snow,1990s
A Civil Action (film),1990s
A Climate for Killing,1990s
"A Cool, Dry Place",1990s
A Cry in the Wild,1990s
A Dangerous Woman (1993 film),1990s
A Dog of Flanders (1999 film),1990s
A Family Thing,1990s
A Family Torn Apart,1990s
A Far Off Place,1990s
A Father for Brittany,1990s
A Few Good Men,1990s
A Friend to Die For,1990s
A Friend's Betrayal,1990s
A Gnome Named Gnorm,1990s
A Good Baby,1990s
A Good Man in Africa,1990s
A Holiday Romance,1990s
A Holiday to Remember,1990s
A Home of Our Own,1990s
A House in the Hills,1990s
A Killing in a Small Town,1990s
A Kiss Before Dying (1991 film),1990s
A League of Their Own,1990s
A Life Less Ordinary,1990s
A Little Piece of Heaven (film),1990s
A Little Princess (1995 film),1990s
A Low Down Dirty Shame,1990s
A Man Called Sarge,1990s
A Matter of Degrees,1990s
A Midsummer Night's Dream (1999 film),1990s
A Million to Juan,1990s
A Mom for Christmas,1990s
A Murder of Crows (film),1990s
A Night at the Roxbury,1990s
A Perfect Murder,1990s
A Perfect World,1990s
A Private Matter,1990s
A Rage in Harlem,1990s
A River Runs Through It (film),1990s
A Saintly Switch,1990s
A Shock to the System (1990 film),1990s
A Show of Force,1990s
A Simple Plan (film),1990s
A Simple Twist of Fate,1990s
A Simple Wish,1990s
A Slipping-Down Life,1990s
A Smile Like Yours,1990s
A Soldier's Daughter Never Cries (film),1990s
A Stranger Among Us,1990s
A Taste for Killing,1990s
A Thin Line Between Love and Hate,1990s
A Thousand Acres (film),1990s
A Time to Kill (1996 film),1990s
A Valentine for You,1990s
A Very Brady Sequel,1990s
A Walk in the Clouds,1990s
A Walk on the Moon,1990s
A Winnie the Pooh Thanksgiving,1990s
"A Woman, Her Men, and Her Futon",1990s
A.P.E.X.,1990s
A.T.F.,1990s
Abandoned and Deceived,1990s
Aberration (film),1990s
Above Suspicion (1995 film),1990s
Above the Rim,1990s
Abraham (1993 film),1990s
Absolute Power (film),1990s
Absolute Strangers,1990s
Accidental Meeting (1994 film),1990s
Ace Ventura: Pet Detective,1990s
Ace Ventura: When Nature Calls,1990s
Aces: Iron Eagle III,1990s
Across the Sea of Time,1990s
Across the Tracks,1990s
Addams Family Reunion,1990s
Addams Family Values,1990s
Addicted to Love (film),1990s
Adrenalin: Fear the Rush,1990s
Adventures in Dinosaur City,1990s
Affliction (1997 film),1990s
"After Dark, My Sweet",1990s
Afterburn (film),1990s
Afterglow (1997 film),1990s
Aftershock (1990 film),1990s
Aftershock: Earthquake in New York,1990s
Against Her Will: An Incident in Baltimore,1990s
Against the Law (1997 film),1990s
Against the Wall (1994 film),1990s
Agnes Browne,1990s
Air America (film),1990s
Air Bud,1990s
Air Bud: Golden Receiver,1990s
Air Force One (film),1990s
Airborne (1993 film),1990s
Airheads,1990s
Alaska (1996 film),1990s
Albino Alligator,1990s
Alice (1990 film),1990s
Alice in Wonderland (1999 film),1990s
Alien 3,1990s
Alien Abduction: Incident in Lake County,1990s
Alien Cargo,1990s
Alien Intruder,1990s
Alien Nation: Body and Soul,1990s
Alien Nation: Dark Horizon,1990s
Alien Nation: Millennium,1990s
Alien Nation: The Enemy Within,1990s
Alien Nation: The Udara Legacy,1990s
Alien Resurrection,1990s
Alienator,1990s
Alive (1993 film),1990s
All I Wanna Do (1998 film),1990s
All I Want for Christmas (film),1990s
All Over Me (film),1990s
All Tied Up,1990s
Alligator II: The Mutation,1990s
Almost Heroes,1990s
Almost an Angel,1990s
Always Outnumbered,1990s
Amateur (1994 film),1990s
Amelia Earhart: The Final Flight,1990s
America's Dream,1990s
American Beauty (1999 film),1990s
American Buffalo (film),1990s
American Dragons,1990s
American Heart (film),1990s
American History X,1990s
American Kickboxer,1990s
American Me,1990s
American Ninja 4: The Annihilation,1990s
American Ninja V,1990s
American Perfekt,1990s
American Pie (film),1990s
American Shaolin,1990s
American Vampire (film),1990s
Amistad (film),1990s
Amityville Dollhouse,1990s
Amityville: A New Generation,1990s
Amityville: It's About Time,1990s
Amongst Friends,1990s
Amore!,1990s
Amos & Andrew,1990s
An Act of Conscience,1990s
An Alan Smithee Film: Burn Hollywood Burn,1990s
An American Werewolf in Paris,1990s
An Unfinished Affair,1990s
Anaconda (film),1990s
Analyze This,1990s
And You Thought Your Parents Were Weird,1990s
And the Band Played On (film),1990s
Andersonville (film),1990s
Andre (film),1990s
Angel Town (film),1990s
Angel of Destruction,1990s
Angela (1995 film),1990s
Angela's Ashes (film),1990s
Angels and Insects,1990s
Angels in the Endzone,1990s
Angels in the Outfield (1994 film),1990s
Angie (1994 film),1990s
Angus (film),1990s
Anna Karenina (1997 film),1990s
Anna and the King,1990s
Annabelle's Wish,1990s
Annie (1999 film),1990s
Annie: A Royal Adventure!,1990s
Another 48 Hrs.,1990s
Another Day in Paradise (film),1990s
Another Stakeout,1990s
Another You,1990s
Any Given Sunday,1990s
Any Mother's Son,1990s
Anything for Love,1990s
Anything to Survive,1990s
Anywhere but Here (film),1990s
Apollo 13 (film),1990s
Apt Pupil (film),1990s
Araby (1999 film),1990s
Arachnophobia (film),1990s
Arcade (film),1990s
Archie: To Riverdale and Back Again,1990s
Arizona Dream,1990s
Arlington Road,1990s
Armageddon (1998 film),1990s
Army of Darkness,1990s
Arrival II,1990s
Article 99,1990s
As Good as Dead (1995 film),1990s
As Good as It Gets,1990s
Aspen Extreme,1990s
Assassins (1995 film),1990s
Assault on Death Mountain,1990s
Assault on Devil's Island,1990s
Asterix Conquers America,1990s
Asteroid (film),1990s
Aswang (1994 film),1990s
At First Sight (1999 film),1990s
At Ground Zero,1990s
At Play in the Fields of the Lord,1990s
Atomic Dog (film),1990s
Atomic Train,1990s
Attack of the 50 Ft. Woman (1993 film),1990s
Attack of the 60 Foot Centerfold,1990s
Au Pair (film),1990s
Austin Powers: International Man of Mystery,1990s
Austin Powers: The Spy Who Shagged Me,1990s
Avalon (1990 film),1990s
Awakenings,1990s
Ax 'Em,1990s
Azúcar Amarga,1990s
B.A.P.S.,1990s
BASEketball,1990s
Babe (film),1990s
Babe Ruth (film),1990s
Babe: Pig in the City,1990s
Baby Cakes (film),1990s
Baby Geniuses,1990s
Baby Snatcher,1990s
Baby's Day Out,1990s
Babylon 5: In the Beginning,1990s
Babylon 5: Thirdspace,1990s
Back from Hell (film),1990s
Back in the USSR (film),1990s
Back to Back (1996 film),1990s
Back to the Future Part III,1990s
Backdraft (film),1990s
Backfield in Motion (film),1990s
Backstreet Dreams (film),1990s
Bad Boys (1995 film),1990s
Bad Company (1995 film),1990s
Bad Day on the Block,1990s
Bad Girls (1994 film),1990s
Bad Influence (film),1990s
Bad Lieutenant,1990s
Bad Moon,1990s
Balloon Farm (film),1990s
Bang (film),1990s
Bank Robber (film),1990s
Barb Wire (1996 film),1990s
Barbarians at the Gate (film),1990s
Barcelona (film),1990s
Bare Essentials,1990s
Barney's Great Adventure,1990s
Barney's Magical Musical Adventure,1990s
Barton Fink,1990s
Basic Instinct,1990s
Basket Case 2,1990s
Basket Case 3: The Progeny,1990s
Basquiat (film),1990s
Bastard Out of Carolina (film),1990s
Batman & Robin (film),1990s
Batman Forever,1990s
Batman Returns,1990s
Bats (film),1990s
Bean (film),1990s
Beast Wars II: Lio Convoy's Close Call!,1990s
Beastmaster III: The Eye of Braxus,1990s
Beautiful Girls (film),1990s
Bed & Breakfast (1992 film),1990s
Bed of Roses (1996 film),1990s
Bedhead (film),1990s
Beethoven (film),1990s
Beethoven's 2nd (film),1990s
Before Sunrise,1990s
Before Women Had Wings,1990s
Before and After (film),1990s
Behind Enemy Lines (1997 film),1990s
Being John Malkovich,1990s
Bella Mafia,1990s
Belly (film),1990s
Beloved (1998 film),1990s
Below Utopia,1990s
Benefit of the Doubt (1993 film),1990s
Benny & Joon,1990s
Beowulf (1999 film),1990s
Beretta's Island,1990s
Best Laid Plans (1999 film),1990s
Best Men,1990s
Best of the Best 3: No Turning Back,1990s
Best of the Best 4: Without Warning,1990s
Best of the Best II,1990s
Betsy's Wedding,1990s
Between Love and Hate (1993 film),1990s
Beverly Hills Cop III,1990s
Beverly Hills Family Robinson,1990s
Beverly Hills Ninja,1990s
Beyond Betrayal,1990s
Beyond Desire,1990s
Beyond Paradise,1990s
Beyond Rangoon,1990s
Beyond the Law (1993 film),1990s
Bicentennial Man (film),1990s
Big Bully (film),1990s
Big Daddy (1999 film),1990s
Big Girls Don't Cry... They Get Even,1990s
Big Night,1990s
Bigfoot: The Unforgettable Encounter,1990s
Bikini Drive-In,1990s
Bikini Island (film),1990s
Bill & Ted's Bogus Journey,1990s
Billboard Dad,1990s
Billy Bathgate (film),1990s
Billy Frankenstein,1990s
Billy Madison,1990s
Billy's Hollywood Screen Kiss,1990s
Bingo (1991 film),1990s
Bio-Dome,1990s
Bird on a Wire (film),1990s
Bitter Moon,1990s
Black Beauty (1994 film),1990s
Black Dog (film),1990s
Black Scorpion II,1990s
Black Sheep (1996 film),1990s
Black and Blue (1999 film),1990s
Black and White (1999 TV film),1990s
Black and White (1999 drama film),1990s
Blackjack (1998 film),1990s
Blade (1998 film),1990s
Blame It on the Bellboy,1990s
Blank Check (film),1990s
Blankman,1990s
Blast from the Past (film),1990s
Blind Faith (1998 film),1990s
Blind Faith (miniseries),1990s
Blindfold: Acts of Obsession,1990s
Blink (1993 film),1990s
Blood Dolls,1990s
Blood In Blood Out,1990s
Blood Ties (1991 film),1990s
Blood and Concrete,1990s
Blood and Wine,1990s
Bloodfist II,1990s
Bloodfist III: Forced to Fight,1990s
Bloodfist V: Human Target,1990s
Bloodmatch,1990s
Bloodmoon (1997 film),1990s
Bloodsport II: The Next Kumite,1990s
Bloodsport III,1990s
Blown Away (1994 film),1990s
Blue Chips,1990s
Blue Sky (1994 film),1990s
Blue Steel (1990 film),1990s
Blue Streak (film),1990s
Blue Valley Songbird,1990s
Blue in the Face,1990s
Blues Brothers 2000,1990s
Bob Roberts,1990s
Body Bags (film),1990s
Body Parts (film),1990s
Body Snatchers (1993 film),1990s
Body and Soul (1999 film),1990s
Body of Evidence (1993 film),1990s
Bogus (film),1990s
Boiling Point (1993 film),1990s
Bombshell (1997 film),1990s
Bongwater (film),1990s
Boogie Nights,1990s
Book of Love (1990 film),1990s
Boomerang (1992 film),1990s
Booty Call,1990s
Bopha!,1990s
Bordello of Blood,1990s
Boris and Natasha: The Movie,1990s
Born Free: A New Adventure,1990s
Born Yesterday (1993 film),1990s
Born to Be Wild (1995 film),1990s
Borrowed Hearts,1990s
Bottle Rocket,1990s
Bound (1996 film),1990s
Bounty Hunters (1996 film),1990s
Bounty Hunters 2: Hardball,1990s
Bowfinger,1990s
Boxing Helena,1990s
Boys (1996 film),1990s
Boys Don't Cry (1999 film),1990s
Boys on the Side,1990s
Boyz n the Hood,1990s
Brain Dead (1990 film),1990s
Brain Donors,1990s
Brainscan,1990s
Brainsmasher... A Love Story,1990s
Bram Stoker's Dracula (1992 film),1990s
Bram Stoker's Legend of the Mummy,1990s
Braveheart,1990s
Breach of Faith: A Family of Cops 2,1990s
Breakdown (1997 film),1990s
Breakfast of Champions (film),1990s
Breaking the Rules (film),1990s
Breaking the Surface: The Greg Louganis Story,1990s
Breast Men,1990s
Breathing Fire,1990s
Bride of Chucky,1990s
Bride of Re-Animator,1990s
Bridge of Dragons,1990s
Bright Angel,1990s
Bringing Out the Dead,1990s
Brink!,1990s
Brokedown Palace,1990s
Broken (1993 film),1990s
Broken Arrow (1996 film),1990s
Broken Vessels,1990s
Brown's Requiem (film),1990s
Buddy (1997 film),1990s
Buddy Boy,1990s
Buffalo '66,1990s
Buffy the Vampire Slayer (film),1990s
Buford's Beach Bunnies,1990s
Bug Buster,1990s
Bugged!,1990s
Bugsy,1990s
Bullet (1996 film),1990s
Bulletproof (1996 film),1990s
Bulletproof Heart (film),1990s
Bullets Over Broadway,1990s
Bulworth,1990s
Buried Alive (1990 TV film),1990s
Buried Alive (1990 theatrical film),1990s
Buried Alive II,1990s
Bushwhacked (film),1990s
But I'm a Cheerleader,1990s
By Dawn's Early Light,1990s
By the Sword (film),1990s
Bye Bye Love (film),1990s
CB4,1990s
CIA Code Name: Alexa,1990s
Cabin Boy,1990s
Cadence (film),1990s
Cadillac Man,1990s
Cafe Society (1995 film),1990s
Camp Blood (film),1990s
Camp Nowhere,1990s
Camp Stories,1990s
Campfire Tales (1991 film),1990s
Campfire Tales (1997 film),1990s
Can of Worms (film),1990s
Can't Be Heaven,1990s
Can't Hardly Wait,1990s
Can't Stop Dancing,1990s
Canadian Bacon,1990s
Candles in the Dark,1990s
Candyman (1992 film),1990s
Candyman 3: Day of the Dead,1990s
Candyman: Farewell to the Flesh,1990s
Cannes Man,1990s
Cannibal! The Musical,1990s
Cape Fear (1991 film),1990s
Captain America (1990 film),1990s
Captain Ron,1990s
Career Opportunities (film),1990s
Carlito's Way,1990s
Carnival of Souls (1998 film),1990s
Carnosaur (film),1990s
Carnosaur 2,1990s
Carnosaur 3: Primal Species,1990s
Caroline?,1990s
Carpool (1996 film),1990s
Carried Away (1996 film),1990s
Casino (1995 film),1990s
Casper (film),1990s
Casper Meets Wendy,1990s
Cast a Deadly Spell,1990s
Castle Freak,1990s
"Casualties of Love: The ""Long Island Lolita"" Story",1990s
Catchfire,1990s
Caught (1996 film),1990s
Caught Up (film),1990s
Celebrity (1998 film),1990s
Celtic Pride,1990s
Chain Reaction (1996 film),1990s
Chain of Command (1994 film),1990s
Chain of Desire,1990s
Chains of Gold,1990s
Chairman of the Board (film),1990s
Challenger (1990 film),1990s
Chameleon (1998 film),1990s
Chameleon II: Death Match,1990s
Champions (1997 film),1990s
Changes (1991 film),1990s
Chantilly Lace (film),1990s
Chaplin (film),1990s
Charades (film),1990s
Charlie's Ghost Story,1990s
Chasers,1990s
Chasing Amy,1990s
Checkered Flag (film),1990s
Chernobyl: The Final Warning,1990s
Cherry Falls,1990s
Child in the Night,1990s
"Child of Darkness, Child of Light",1990s
Child of Rage,1990s
Child's Play 2,1990s
Child's Play 3,1990s
Children of the Corn 666: Isaac's Return,1990s
Children of the Corn II: The Final Sacrifice,1990s
Children of the Corn III: Urban Harvest,1990s
Children of the Corn IV: The Gathering,1990s
Children of the Corn V: Fields of Terror,1990s
Children of the Night (1991 film),1990s
Chill Factor (film),1990s
China Moon,1990s
China O'Brien,1990s
China O'Brien II,1990s
Chinese Box,1990s
Choices of the Heart: The Margaret Sanger Story,1990s
Christmas in Connecticut (1992 film),1990s
Christopher Columbus: The Discovery,1990s
Chuck E. Cheese in the Galaxy 5000,1990s
Chutney Popcorn,1990s
CinderElmo,1990s
Cinderella (1997 film),1990s
Circle of Life: An Environmental Fable,1990s
Citizen Ruth,1990s
Citizen X,1990s
City Slickers,1990s
City Slickers II: The Legend of Curly's Gold,1990s
City of Angels (film),1990s
City of Hope (1991 film),1990s
City of Industry (film),1990s
Claire of the Moon,1990s
Class Act,1990s
Class Action (film),1990s
Class of '61,1990s
Class of 1999,1990s
Class of 1999 II: The Substitute,1990s
Class of Nuke 'Em High 2: Subhumanoid Meltdown,1990s
"Class of Nuke 'Em High 3: The Good, the Bad and the Subhumanoid",1990s
Clay Pigeons,1990s
Clean Slate (1994 film),1990s
"Clean, Shaven",1990s
Clear and Present Danger (film),1990s
Clerks (film),1990s
Cliffhanger (film),1990s
Clifford (film),1990s
Clockers (film),1990s
Clockwatchers,1990s
Cloned (film),1990s
Closet Land,1990s
Clover (1997 film),1990s
Clueless,1990s
Cobb (film),1990s
Cold Dog Soup (film),1990s
Cold Heaven (film),1990s
Color of Night,1990s
Combination Platter,1990s
Come See the Paradise,1990s
Comfortably Numb (film),1990s
Coming Soon (1999 film),1990s
Common Bonds,1990s
Company Business,1990s
Compensation (film),1990s
Con Air,1990s
Coneheads (film),1990s
Confessions of a Sorority Girl,1990s
Congo (film),1990s
Consenting Adults (1992 film),1990s
Conspiracy Theory (film),1990s
Contact (1997 American film),1990s
Cookie's Fortune,1990s
Cool Air (film),1990s
Cool Blue,1990s
Cool Runnings,1990s
Cool and the Crazy,1990s
Cool as Ice,1990s
Cop Land,1990s
Cop and a Half,1990s
Cops & Robbersons,1990s
Copycat (1995 film),1990s
"Corrina, Corrina (film)",1990s
Corrupt (1999 film),1990s
Coupe de Ville (film),1990s
Courage Mountain,1990s
Courage Under Fire,1990s
Cradle Will Rock,1990s
Crash and Burn (1990 film),1990s
Crash: The Mystery of Flight 1501,1990s
Crazy People,1990s
Crazy Six,1990s
Crazy in Alabama,1990s
Crimson Tide (film),1990s
Critters 3,1990s
Critters 4,1990s
Crooked Hearts,1990s
Crooklyn,1990s
Crossworlds,1990s
Crowned and Dangerous,1990s
Cry-Baby,1990s
Curdled (film),1990s
Curly Sue,1990s
Curse of the Puppet Master,1990s
Curtain Call (1998 film),1990s
Cutthroat Island,1990s
Cutting Moments,1990s
Cyborg 2,1990s
Cyborg 3: The Recycler,1990s
Cyborg Cop,1990s
Cyborg Cop II,1990s
Cyborg Cop III,1990s
D2: The Mighty Ducks,1990s
D3: The Mighty Ducks,1990s
DNA (1997 film),1990s
Dad's Week Off,1990s
Daddy's Dyin': Who's Got the Will?,1990s
Daisy-Head Mayzie,1990s
Dalva,1990s
Dance Macabre (film),1990s
Dance with Me (1998 film),1990s
"Dancer, Texas Pop. 81",1990s
Dances with Wolves,1990s
Danger Zone (1996 film),1990s
Dangerous Beauty,1990s
Dangerous Game (1993 film),1990s
Dangerous Minds,1990s
Dangerous Passion,1990s
Dangerous Touch,1990s
Dante's Peak,1990s
Dark Angel (1996 film),1990s
Dark Angel: The Ascent,1990s
Dark Blood,1990s
Dark City (1998 film),1990s
Dark Horse (1992 film),1990s
Darkman,1990s
Darkman II: The Return of Durant,1990s
Darkman III: Die Darkman Die,1990s
Daughter of Darkness (1990 film),1990s
Daughters of the Dust,1990s
Dave (film),1990s
David and Lisa,1990s
David's Mother,1990s
Day-O (film),1990s
Daylight (1996 film),1990s
Days of Thunder,1990s
Dazed and Confused (film),1990s
Dead Again,1990s
Dead Funny,1990s
Dead Homiez,1990s
Dead Leaves (1998 film),1990s
Dead Man,1990s
Dead Man Walking (film),1990s
Dead Man on Campus,1990s
Dead Men Don't Die,1990s
Dead Presidents,1990s
Dead Space (film),1990s
Dead in the Water (1991 film),1990s
Deadfall (1993 film),1990s
Deadly Heroes,1990s
Deadly Love,1990s
Deadly Manor,1990s
Deadly Outbreak,1990s
Deadly Relations,1990s
Deadly Voyage,1990s
Deal of a Lifetime,1990s
Dear God (film),1990s
Death Becomes Her,1990s
Death Train,1990s
Death Warrant (film),1990s
Death Wish V: The Face of Death,1990s
Death and the Maiden (film),1990s
Death in Small Doses (1995 film),1990s
Deathstalker IV: Match of Titans,1990s
Decampitated,1990s
Deceived,1990s
Deceiver (film),1990s
Deconstructing Harry,1990s
Decoration Day (film),1990s
Deep Blue Sea (1999 film),1990s
Deep Cover,1990s
Deep Down (film),1990s
Deep Impact (film),1990s
Deep Red (1994 film),1990s
Deep Rising,1990s
Def Jam's How to Be a Player,1990s
Def by Temptation,1990s
Defending Your Life,1990s
Defenseless,1990s
Defying Gravity (1997 film),1990s
Delirious (1991 film),1990s
Delta Force 2: The Colombian Connection,1990s
Delta Force 3: The Killing Game,1990s
Delta Heat,1990s
Delta of Venus (film),1990s
Demolition High,1990s
Demolition Man (film),1990s
Demon Knight,1990s
Demonic Toys,1990s
Denial (1998 film),1990s
Denise Calls Up,1990s
Dennis the Menace (1993 film),1990s
Dennis the Menace Strikes Again,1990s
Desecration (film),1990s
Desert Blue,1990s
Desperado (film),1990s
Desperate Hours,1990s
Desperate Measures (film),1990s
Desperate Rescue: The Cathy Mahone Story,1990s
Desperate but Not Serious,1990s
Desperation Boulevard,1990s
Destination Anywhere (film),1990s
Destiny Turns on the Radio,1990s
Detention: The Siege at Johnson High,1990s
Deterrence (film),1990s
Detroit Rock City (film),1990s
Deuce Bigalow: Male Gigolo,1990s
Devil in a Blue Dress (film),1990s
Devil in the Flesh (1998 film),1990s
Diabolique (1996 film),1990s
Dice Rules (film),1990s
Dick (film),1990s
Dick Tracy (1990 film),1990s
Die Hard 2,1990s
Die Hard with a Vengeance,1990s
Digging to China,1990s
Diggstown,1990s
Dill Scallion,1990s
Dillinger and Capone,1990s
Dinosaur Island (1994 film),1990s
Direct Hit (film),1990s
Dirt Merchant,1990s
Dirty Work (1998 film),1990s
Disclosure (1994 film),1990s
Disturbed (film),1990s
Disturbing Behavior,1990s
Do or Die (film),1990s
Doc Hollywood,1990s
Doctor Mordrid,1990s
Doctor Who (film),1990s
Dog Park (film),1990s
Dogfight (film),1990s
Dogtown (film),1990s
Doing Time on Maple Drive,1990s
Dollman (film),1990s
Dollman vs. Demonic Toys,1990s
Dolly Dearest,1990s
Dolores Claiborne (film),1990s
Don Juan DeMarco,1990s
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1990s
Don't Look Down (1998 film),1990s
Don't Look Under the Bed,1990s
Don't Tell Her It's Me,1990s
Don't Tell Mom the Babysitter's Dead,1990s
Donato and Daughter,1990s
Donnie Brasco (film),1990s
Doppelganger (1993 film),1990s
Doraemon: Nobita Drifts in the Universe,1990s
Dorf Goes Auto Racing,1990s
Dorf on the Diamond,1990s
Double Dragon (film),1990s
Double Impact,1990s
Double Jeopardy (1992 film),1990s
Double Jeopardy (1999 film),1990s
Double Platinum (film),1990s
Double Team (film),1990s
"Double, Double, Toil and Trouble",1990s
Down Periscope,1990s
Down Will Come Baby,1990s
Down in the Delta,1990s
Downtown (film),1990s
Dr. Dolittle (1998 film),1990s
Dr. Giggles,1990s
Dr. Jekyll and Ms. Hyde,1990s
Dracula: Dead and Loving It,1990s
Dragon: The Bruce Lee Story,1990s
Dragonheart,1990s
Dragonworld,1990s
Dragstrip Girl (1994 film),1990s
Dream Lover (1993 film),1990s
Dream Machine (film),1990s
Dream a Little Dream 2,1990s
Dream for an Insomniac,1990s
Dream with the Fishes,1990s
Drive (1997 film),1990s
Drive Me Crazy,1990s
Drop Dead Fred,1990s
Drop Dead Gorgeous (film),1990s
Drop Zone (film),1990s
Drylongso (film),1990s
Duck! The Carbine High Massacre,1990s
Dudley Do-Right (film),1990s
Duel of Hearts,1990s
Dumb and Dumber,1990s
Dunston Checks In,1990s
Dutch (film),1990s
Dying Young,1990s
Dying to Belong,1990s
Déjà Vu (1997 film),1990s
EDtv,1990s
Earthly Possessions (film),1990s
Eat Drink Man Woman,1990s
Ed (film),1990s
Ed Wood (film),1990s
Ed and His Dead Mother,1990s
Eddie (film),1990s
Edge of Seventeen (film),1990s
Edward Scissorhands,1990s
El Mariachi,1990s
Election (1999 film),1990s
Elvis Meets Nixon,1990s
Embrace of the Vampire,1990s
Emma (1996 theatrical film),1990s
Empire Records,1990s
Encino Man,1990s
End of Days (film),1990s
Enemy (1990 film),1990s
Enemy Gold,1990s
Enemy of the State (film),1990s
Enid Is Sleeping,1990s
Entrapment (film),1990s
Entropy (film),1990s
Equinox (1992 film),1990s
Eraser (film),1990s
Ernest Goes to Africa,1990s
Ernest Goes to Jail,1990s
Ernest Goes to School,1990s
Ernest Scared Stupid,1990s
Escape from L.A.,1990s
Escape to Witch Mountain (1995 film),1990s
Ethan Frome (film),1990s
Eve of Destruction (film),1990s
Eve's Bayou,1990s
Even Cowgirls Get the Blues (film),1990s
Event Horizon (film),1990s
Ever After,1990s
Everyone Loves Mel,1990s
Everyone Says I Love You,1990s
Evita (1996 film),1990s
Excess Baggage (1997 film),1990s
Excessive Force (film),1990s
Excessive Force II: Force on Force,1990s
Executive Decision,1990s
Exiled: A Law & Order Movie,1990s
Exit to Eden (film),1990s
Extreme Justice (film),1990s
Extreme Measures,1990s
Eye for an Eye (1996 film),1990s
Eye of God (film),1990s
Eye of the Widow,1990s
Eyes Wide Shut,1990s
Eyes of an Angel,1990s
F.T.W. (film),1990s
F/X2,1990s
Face of Evil,1990s
Face/Off,1990s
Fair Game (1995 film),1990s
FairyTale: A True Story,1990s
Faithful (1996 film),1990s
Fall (1997 film),1990s
Fall Time,1990s
Fallen (1998 film),1990s
Falling Down,1990s
Falling from Grace (film),1990s
Falling from the Sky: Flight 174,1990s
Family Album (miniseries),1990s
Family Plan (1997 film),1990s
Family of Cops,1990s
Far Out Man,1990s
Far and Away,1990s
Far from Home: The Adventures of Yellow Dog,1990s
Fargo (1996 film),1990s
Fast Getaway,1990s
Fast Getaway II,1990s
Fatal Instinct,1990s
Father Hood,1990s
Father and Scout,1990s
Father of the Bride (1991 film),1990s
Father of the Bride Part II,1990s
Fatherland (1994 film),1990s
Fathers' Day (1997 film),1990s
Faust (1994 film),1990s
Fear (1990 film),1990s
Fear (1996 film),1990s
Fear and Loathing in Las Vegas (film),1990s
Fear of a Black Hat,1990s
Fearless (1993 film),1990s
Feeders (film),1990s
Feeling Minnesota,1990s
Female Perversions,1990s
Fever (1989 film),1990s
Fever (1991 film),1990s
Fever Lake,1990s
Fifteen and Pregnant,1990s
Fifth Ward (film),1990s
Fifty/Fifty (1992 film),1990s
Fight Club,1990s
Final Analysis,1990s
Final Approach (1991 film),1990s
Final Combination,1990s
Final Descent (film),1990s
Final Run (1999 film),1990s
Final Voyage,1990s
Finding North,1990s
Fine Things (film),1990s
Fire Birds,1990s
Fire Down Below (1997 film),1990s
Fire in the Sky,1990s
Fire on the Amazon,1990s
Firehead,1990s
Firehouse (1997 film),1990s
Firestorm (1998 film),1990s
First Daughter (1999 film),1990s
First Kid,1990s
First Knight,1990s
First Time Felon,1990s
Fist of the North Star (1995 film),1990s
Fit to Kill,1990s
Five Aces,1990s
Flash (1997 film),1990s
Flashback (1990 film),1990s
Flatliners,1990s
Flawless (1999 film),1990s
Fled,1990s
Flesh and Bone (film),1990s
Fleshtone,1990s
Flight of Black Angel,1990s
Flight of the Intruder,1990s
Flipper (1996 film),1990s
Flirting with Disaster (film),1990s
Floundering,1990s
Flubber (film),1990s
Flushed (film),1990s
Fly Away Home,1990s
Flypaper (1999 film),1990s
Folks!,1990s
Foolish (film),1990s
Fools Rush In (1997 film),1990s
For Better or Worse (film),1990s
For Love of the Game (film),1990s
For Love or Money (1993 film),1990s
For My Daughter's Honor,1990s
For Richer or Poorer,1990s
For the Boys,1990s
For the Love of Nancy,1990s
Forbidden Nights,1990s
Forces of Nature (1999 film),1990s
Foreign Student,1990s
Forest Warrior,1990s
Forever (1992 film),1990s
Forever Young (1992 film),1990s
Forget Paris,1990s
Forrest Gump,1990s
Fortress (1992 film),1990s
Four Rooms,1990s
Fox Hunt (video game),1990s
Foxfire (1996 film),1990s
Framed (1990 film),1990s
Frankenhooker,1990s
Frankenstein Unbound,1990s
Frankie and Johnny (1991 film),1990s
Freak Talks About Sex,1990s
Freaked,1990s
Freaky Friday (1995 film),1990s
Freddy's Dead: The Final Nightmare,1990s
Free Enterprise (film),1990s
Free Fall (1999 film),1990s
Free Willy,1990s
Free Willy 2: The Adventure Home,1990s
Free Willy 3: The Rescue,1990s
Freefall (1994 film),1990s
Freejack,1990s
Freeway (1996 film),1990s
Freeway II: Confessions of a Trickbaby,1990s
Freeze Frame (1992 film),1990s
French Kiss (1995 film),1990s
Fresh (1994 film),1990s
Friday (1995 film),1990s
Fried Green Tomatoes,1990s
Friends & Lovers (1999 film),1990s
Frogs for Snakes,1990s
From Dusk Till Dawn 2: Texas Blood Money,1990s
